Name                ,       Total time (s),           Iterations,        Max mem (MiB),    Frontend time (%),   Frontend mem (MiB),       Synth time (%),      Synth mem (MiB),      Synth model (s),       Synth soln (s),       Verif time (%),      Verif mem (MiB),      Verif model (s),       Verif soln (s)



soln_2_e-d.sk       ,                   4.4,                     0,               45.8125,             37.272728,               40.6875,                   0.0,                   0.0,                   0.0,                   0.0,             62.727272,                 5.125,                 2.741,                 0.019
sketchD1_2_e-d.sk   ,                26.456,                     2,            109.140625,             20.048382,               82.1875,              6.981403,             26.953125,                 1.294,                  0.54,             72.970215,             6.6879997,                19.187,                 0.118
sketchE1_2_e-d.sk   ,                 7.787,                     1,             54.789062,             27.725697,                 41.25,            0.51367664,            13.5390625,                 0.026,                0.0080,              71.76063,                 5.125,                  5.56,                 0.028
sketchE2_2_e-d.sk   ,                42.303,                     2,             113.23047,             11.237973,               81.5625,             6.2643313,             31.667969,                 1.043,                 1.391,             82.497696,             6.6879997,                34.751,                 0.148
sketchD1E1_2_e-d.sk ,                 25.24,                     2,            109.734375,             18.470682,                81.375,             5.6339145,             28.359375,                 0.939,                  0.47,               75.8954,                 5.125,                19.069,                 0.087
sketchD1E2_2_e-d.sk ,                98.448,                     4,              134.5664,               9.07281,                81.125,              8.250041,             53.441406,                 4.751,                 3.347,              82.67715,                  8.25,                81.078,                 0.316
soln_2_e-e-d-d.sk   ,                 4.236,                     0,               45.8125,             32.908405,               40.6875,                   0.0,                   0.0,                   0.0,                   0.0,               67.0916,                 5.125,                 2.763,                 0.079
soln_2_e-d-e-d.sk   ,                  5.43,                     0,               49.5625,             27.145489,               41.3125,                   0.0,                   0.0,                   0.0,                   0.0,             72.854515,                  8.25,                 3.096,                  0.86
sketchD1_2_e-e-d-d.sk,                57.034,                     5,             137.26172,             15.976435,                 80.75,             16.584845,              56.51172,                  6.36,                  3.07,              67.43872,             6.6879997,                38.108,                 0.355
sketchD1_2_e-d-e-d.sk,                49.838,                     3,             177.26172,              15.79919,               105.875,              24.46928,              71.38672,                 7.066,                 5.111,              59.73153,                  14.5,                26.542,                 3.227
sketchE1_2_e-e-d-d.sk,                 8.794,                     1,             54.410156,             24.005003,               40.6875,             12.087787,             13.722656,                 0.043,                 0.013,              63.90721,                 5.125,                  5.55,                  0.07
sketchE1_2_e-d-e-d.sk,                  9.24,                     1,              67.03906,             23.961039,               53.3125,             0.6926407,            13.7265625,                 0.043,                 0.015,              75.34632,                  8.25,                 6.103,                 0.859
sketchE2_2_e-e-d-d.sk,                 47.13,                     2,             114.75781,             14.500319,                 81.25,             9.3295145,             33.507812,                 2.767,                 1.618,             76.170166,             6.6879997,                35.162,                 0.737
sketchE2_2_e-d-e-d.sk,               114.695,                     5,              171.6875,               9.78421,               102.375,             22.820524,               69.3125,                 9.926,                16.219,              67.39526,                17.625,                71.983,                 5.316
sketchD1E1_2_e-e-d-d.sk,                46.967,                     4,             135.50781,             15.527924,               80.8125,             15.768518,             54.695312,                 4.757,                 2.626,              68.70356,             6.6879997,                31.953,                 0.315
