"Psketch performance tests:  08/03/28"													
													
													
"Benchmark"	"Candidates"	"Control Bits"											
"queueE1"	4	2											
"queueE2"	"10^6"	75											
"queueDE1"	"10^3"	34											
"queueDE2"	"10^8"	107											
"barrier1"	"10^4"	41											
"barrier2"	"10^7"	177											
"fineset1"	"10^4"	64											
"fineset2"	"10^6"	92											
"lazyset"	"10^3"	12											
"dinphilo"	"10^6"	79											
													
													
													
													
"Name                "	"Total time (s)"	"Iterations"	"Max mem (MiB)"	"Frontend time (%)"	"Frontend mem (MiB)"	"Synth time (%)"	"Synth mem (MiB)"	"Synth model (s)"	"Synth soln (s)"	"Verif time (%)"	"Verif mem (MiB)"	"Verif model (s)"	"Verif soln (s)"
"Queue"													
"queueE1"													
"queueE1_2_e-d   "	7.79	1	54.79	27.73	41.25	0.51	13.54	0.03	0.01	71.76	5.13	5.56	0.03
"queueE1_2_e-e-d-d"	8.79	1	54.41	24.01	40.69	12.09	13.72	0.04	0.01	63.91	5.13	5.55	0.07
"queueE1_2_e-d-e-d"	9.24	1	67.04	23.96	53.31	0.69	13.73	0.04	0.02	75.35	8.25	6.1	0.86
"queueE1_3_e-e-e_ddd"	13	1	72.81	16.26	41.13	1.33	17.54	0.12	0.05	82.41	31.69	5.05	5.67
"queueE1_2_e-e-e-e_dddd"	345.79	1	1261.31	0.96	77.25	0.32	25.88	0.73	0.37	98.72	1184.06	5.33	336.03
"queueDE1"													
"queueDE1_2_e-d "	25.24	2	109.73	18.47	81.38	5.63	28.36	0.94	0.47	75.9	5.13	19.07	0.09
"queueDE1_2_e-e-d-d"	46.97	4	135.51	15.53	80.81	15.77	54.7	4.76	2.63	68.7	6.69	31.95	0.32
"queueDE1_2_e-d-e-d"	64.18	4	172.92	15.68	106.19	20.68	66.73	7.98	5.27	63.64	22.31	33.76	7.09
"queueE2"													
"queueE2_2_e-d   "	42.3	2	113.23	11.24	81.56	6.26	31.67	1.04	1.39	82.5	6.69	34.75	0.15
"queueE2_2_e-e-d-d"	47.13	2	114.76	14.5	81.25	9.33	33.51	2.77	1.62	76.17	6.69	35.16	0.74
"queueE2_2_e-d-e-d"	114.7	5	171.69	9.78	102.38	22.82	69.31	9.93	16.22	67.4	17.63	71.98	5.32
"queueE2_3_e-e-e_ddd"	249.2	8	213.69	5.84	99	27.72	92.64	23.3	44.74	66.44	114.69	60.98	104.59
"queueE2_2_e-e-e-e_dddd"	3658.04	4	109.7	98.98	81.25	0.09	28.45	1.8	0.63	0.93	6.69	33.75	0.13
"queueDE2"													
"queueDE2_2_e-d "	98.45	4	134.57	9.07	81.13	8.25	53.44	4.75	3.35	82.68	8.25	81.08	0.32
"queueDE2_2_e-e-d-d"	894.06	4	248.96	1.77	123	86.85	125.96	19.7	756.79	11.38	42.63	83.63	18.13
"queueDE2_2_e-d-e-d"	3091.37	10	489.26	2.17	176.06	91.32	313.2	147.07	2676.07	6.5	30.13	184.72	16.28
													
"soln_2_e-d       "	4.4	0	45.81	37.27	40.69	0	0	0	0	62.73	5.13	2.74	0.02
"soln_2_e-e-d-d   "	4.24	0	45.81	32.91	40.69	0	0	0	0	67.09	5.13	2.76	0.08
"soln_2_e-d-e-d   "	5.43	0	49.56	27.15	41.31	0	0	0	0	72.85	8.25	3.1	0.86
"soln_3_e-e-e_ddd "	9.61	0	72.38	14.11	40.69	0	0	0	0	85.89	31.69	2.66	5.6
"soln_3_eee_d-d-d "	7.5	0	53.63	15.52	40.69	0	0	0	0	84.48	12.94	2.54	3.8
"soln_2_e-e-e-e_dddd"	352.86	0	1224.75	0.69	40.69	0	0	0	0	99.31	1184.06	2.42	348
"soln_2_eeee_d-d-d-d"	16.17	0	70.81	9.09	40.69	0	0	0	0	90.91	30.13	2.6	12.1
"soln_4_e-d-e-d   "	36.51	0	97.94	7.06	41.25	0	0	0	0	92.94	56.69	5.24	28.7
													
													
													
													
"Name                "	"Total time (s)"	"Iterations"	"Max mem (MiB)"	"Frontend time (%)"	"Frontend mem (MiB)"	"Synth time (%)"	"Synth mem (MiB)"	"Synth model (s)"	"Synth soln (s)"	"Verif time (%)"	"Verif mem (MiB)"	"Verif model (s)"	"Verif soln (s)"
"Barrier"													
"barrer1"													
"barrier1_3_2  "	49.74	4	177.31	5.37	47	3.42	17.54	0.57	0.11	91.21	130.31	8.07	37.3
