"Psketch performance tests:  08/03/28"																
																
																
"Benchmark"	"Candidates"	"Control Bits"	"log C"													
"queueE1"	4	2	0.6													
"queueDE1"	1.00E+004	34	4													
"queueE2"	1.00E+007	75	7													
"queueDE2"	1.00E+009	107	9													
"barrier1"	1.00E+005	41	5													
"barrier2"	1.00E+008	177	8													
"fineset1"	1.00E+005	64	5													
"fineset2"	1.00E+007	92	7													
"lazyset"	1.00E+004	12	4													
"dinphilo"	1.00E+007	79	7													
																
																
																
																
"Name                "	"Iterations"	"Result"	"Passed full verif"	"Total time (s)"	"Synth soln (s)"	"Synth model (s)"	"Verif soln (s)"	"Verif model (s)"	"Max mem (MiB)"	"Synth mem (MiB)"	"Verif mem (MiB)"		"Frontend time (%)"	"Frontend mem (MiB)"	"Synth time (%)"	"Verif time (%)"
"Queue"																
"queueE1"																
"$ed(e|d)$"	1	"Sat"	"YES"	7.79	0.01	0.03	0.03	5.56	54.79	13.54	5.13		27.73	41.25	0.51	71.76
"$ed(ee|dd)$"	1	"Sat"	"YES"	8.79	0.01	0.04	0.07	5.55	54.41	13.72	5.13		24.01	40.69	12.09	63.91
"$ed(ed|ed)$"	1	"Sat"	"YES"	9.24	0.02	0.04	0.86	6.1	67.04	13.73	8.25		23.96	53.31	0.69	75.35
"$(e|e|e)ddd$"	1	"Sat"	"YES"	13	0.05	0.12	5.67	5.05	72.81	17.54	31.69		16.26	41.13	1.33	82.41
"$(ee|ee)dddd$"	1	"Sat"	"YES"	345.79	0.37	0.73	336.03	5.33	1261.31	25.88	1184.06		0.96	77.25	0.32	98.72
"queueDE1"																
"$ed(e|d)$"	2	"Sat"	"YES"	25.24	0.47	0.94	0.09	19.07	109.73	28.36	5.13		18.47	81.38	5.63	75.9
"$ed(ee|dd)$"	4	"Sat"	"YES"	46.97	2.63	4.76	0.32	31.95	135.51	54.7	6.69		15.53	80.81	15.77	68.7
"$ed(ed|ed)$"	4	"Sat"	"YES"	64.18	5.27	7.98	7.09	33.76	172.92	66.73	22.31		15.68	106.19	20.68	63.64
"queueE2"																
"$ed(e|d)$   "	2	"Sat"	"NO"	42.3	1.39	1.04	0.15	34.75	113.23	31.67	6.69		11.24	81.56	6.26	82.5
"$ed(ee|dd)$"	2	"Sat"	"NO"	47.13	1.62	2.77	0.74	35.16	114.76	33.51	6.69		14.5	81.25	9.33	76.17
"$ed(ed|ed)$"	5	"Sat"	"YES"	114.7	16.22	9.93	5.32	71.98	171.69	69.31	17.63		9.78	102.38	22.82	67.4
"$(e|e|e)ddd$"	8	"Sat"	"YES"	249.2	44.74	23.3	104.59	60.98	213.69	92.64	114.69		5.84	99	27.72	66.44
"queueDE2"																
"$ed(e|d)$ "	4	"Sat"	"NO"	98.45	3.35	4.75	0.32	81.08	134.57	53.44	8.25		9.07	81.13	8.25	82.68
"$ed(ee|dd)$"	3	"Sat"	"NO"	94.79	13.56	5.73	1.33	67.95	188.4	81.71	11.38					
"$ed(ed|ed)$"	10	"Sat"	"YES"	3091.37	2676.07	147.07	16.28	184.72	489.26	313.2	30.13		2.17	176.06	91.32	6.5
"soln"																
"$ed(e|d)$       "	0			4.4	0	0	0.02	2.74	45.81	0	5.13		37.27	40.69	0	62.73
"$ed(ee|dd)$   "	0			4.24	0	0	0.08	2.76	45.81	0	5.13		32.91	40.69	0	67.09
"$ed(ed|ed)$ "	0			5.43	0	0	0.86	3.1	49.56	0	8.25		27.15	41.31	0	72.85
"$(e|e|e)ddd$"	0			9.61	0	0	5.6	2.66	72.38	0	31.69		14.11	40.69	0	85.89
"$eee(d|d|d)$"	0			7.5	0	0	3.8	2.54	53.63	0	12.94		15.52	40.69	0	84.48
"$(ee|ee)dddd$"	0			352.86	0	0	348	2.42	1224.75	0	1184.06		0.69	40.69	0	99.31
"$eeee(dd|dd)$"	0			16.17	0	0	12.1	2.6	70.81	0	30.13		9.09	40.69	0	90.91
"$(e|d|e|d)$"	0			36.51	0	0	28.7	5.24	97.94	0	56.69		7.06	41.25	0	92.94
																
																
																
																
"Name                "	"Iterations"			"Total time (s)"	"Synth soln (s)"	"Synth model (s)"	"Verif soln (s)"	"Verif model (s)"	"Max mem (MiB)"	"Synth mem (MiB)"	"Verif mem (MiB)"		"Frontend time (%)"	"Frontend mem (MiB)"	"Synth time (%)"	"Verif time (%)"
"Barrier"																
"barrer1"																
